Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience
Claude,Wildlife,Impressionism,Oil,"24""x36""",Yes,Toronto,212,8,Express,Cool Tones,Original,Print,Living Room,Joyful,Dim Light,Screen Print,Corporate Clients
Olivia,Wildlife,Surrealism,Mixed Media,"18""x24""",No,Vancouver,339,6,Free Shipping,Neutral Tones,Copy,Real,Living Room,Joyful,Dim Light,N/A,Art Collectors
Claude,Wildlife,Cubism,Watercolor,"20""x30""",No,Toronto,459,7,Standard,Warm Tones,Copy,Real,Kid Room,Energetic,Natural Light,Fine Art Print,Art Collectors
Ava,Portrait,Realism,Watercolor,"16""x20""",No,Montreal,499,6,Free Shipping,Oceanic Tones,Copy,Print,Living Room,Energetic,Bright Light,N/A,Corporate Clients
Emma,Seascape,Modern,Watercolor,"16""x20""",Yes,Montreal,680,9,Express,Warm Tones,Copy,Print,Bedroom,Calming,Bright Light,N/A,Young Professionals
Jija,Wildlife,Impressionism,Watercolor,"18""x24""",Yes,Montreal,222,9,Express,Cool Tones,Copy,Real,Bedroom,Energetic,Bright Light,Screen Print,Families
Pablo,Fantasy,Impressionism,Charcoal,"24""x36""",Yes,Miami,771,3,Standard,Oceanic Tones,Copy,Real,Bedroom,Relaxing,Bright Light,Giclée,Interior Designers
Olivia,Fantasy,Realism,Watercolor,"30""x40""",Yes,Montreal,161,10,Express,Warm Tones,Copy,Real,Office,Joyful,Bright Light,Lithograph,Young Professionals
Claude,Fantasy,Cubism,Oil,"16""x20""",Yes,Toronto,719,10,Free Shipping,Cool Tones,Original,Real,Kid Room,Energetic,Natural Light,Lithograph,Corporate Clients
Ava,Still Life,Realism,Watercolor,"20""x30""",Yes,Toronto,234,6,Standard,Earthy Tones,Original,Real,Kid Room,Joyful,Bright Light,Screen Print,Art Collectors
Frida,Portrait,Surrealism,Mixed Media,"30""x40""",Yes,Chicago,663,6,Express,Oceanic Tones,Original,Real,Living Room,Joyful,Dim Light,Screen Print,Families
Jija,Abstract,Impressionism,Watercolor,"20""x30""",No,Montreal,368,8,Free Shipping,Warm Tones,Copy,Real,Office,Relaxing,Dim Light,N/A,Corporate Clients
Frida,Abstract,Abstract Expressionism,Mixed Media,"24""x36""",No,Toronto,516,4,Free Shipping,Oceanic Tones,Copy,Print,Office,Calming,Dim Light,N/A,Young Professionals
Olivia,Landscape,Cubism,Charcoal,"18""x24""",Yes,Toronto,505,4,Standard,Warm Tones,Copy,Real,Living Room,Joyful,Dim Light,Screen Print,Corporate Clients
Claude,Seascape,Realism,Oil,"30""x40""",No,Vancouver,924,3,Standard,Neutral Tones,Original,Print,Kid Room,Relaxing,Dim Light,Screen Print,Families
Claude,Fantasy,Impressionism,Charcoal,"30""x40""",No,Vancouver,396,10,Standard,Earthy Tones,Original,Print,Bedroom,Reflective,Dim Light,Screen Print,Corporate Clients
Jija,Seascape,Surrealism,Watercolor,"24""x36""",No,Montreal,734,7,Free Shipping,Earthy Tones,Copy,Print,Gallery,Relaxing,Dim Light,Lithograph,Art Collectors
Noah,Abstract,Abstract Expressionism,Watercolor,"20""x30""",Yes,Chicago,746,4,Standard,Oceanic Tones,Original,Print,Living Room,Energetic,Natural Light,Screen Print,Corporate Clients
Jija,Abstract,Abstract Expressionism,Watercolor,"18""x24""",Yes,Montreal,245,7,Free Shipping,Oceanic Tones,Copy,Print,Living Room,Relaxing,Dim Light,Screen Print,Interior Designers
Liam,Wildlife,Cubism,Mixed Media,"16""x20""",No,Vancouver,683,4,Express,Cool Tones,Original,Real,Bedroom,Calming,Dim Light,Lithograph,Young Professionals
Ava,Fantasy,Impressionism,Oil,"24""x36""",No,Montreal,212,4,Free Shipping,Cool Tones,Copy,Print,Office,Calming,Natural Light,Lithograph,Art Collectors
Ava,Abstract,Modern,Oil,"18""x24""",Yes,Toronto,231,3,Express,Neutral Tones,Copy,Print,Bedroom,Reflective,Bright Light,Lithograph,Interior Designers
Vincent,Landscape,Surrealism,Watercolor,"16""x20""",Yes,Miami,528,9,Free Shipping,Oceanic Tones,Original,Real,Gallery,Calming,Dim Light,Giclée,Families
Ava,Wildlife,Impressionism,Mixed Media,"20""x30""",No,Toronto,924,7,Express,Earthy Tones,Original,Real,Office,Joyful,Dim Light,Lithograph,Families
Noah,Wildlife,Modern,Charcoal,"20""x30""",Yes,Calgary,413,4,Free Shipping,Neutral Tones,Original,Real,Kid Room,Energetic,Bright Light,Lithograph,Young Professionals
Claude,Fantasy,Surrealism,Watercolor,"18""x24""",Yes,Miami,339,7,Standard,Neutral Tones,Original,Print,Office,Energetic,Bright Light,Lithograph,Families
Jija,Abstract,Cubism,Watercolor,"16""x20""",Yes,Montreal,623,8,Standard,Neutral Tones,Original,Real,Office,Joyful,Dim Light,N/A,Interior Designers
Ava,Abstract,Cubism,Oil,"24""x36""",Yes,Los Angeles,640,10,Express,Neutral Tones,Original,Print,Living Room,Relaxing,Natural Light,N/A,Interior Designers
Ava,Seascape,Impressionism,Watercolor,"24""x36""",No,Montreal,348,7,Express,Earthy Tones,Copy,Real,Living Room,Relaxing,Natural Light,Lithograph,Interior Designers
Frida,Abstract,Impressionism,Watercolor,"30""x40""",No,Vancouver,707,7,Standard,Neutral Tones,Copy,Real,Gallery,Calming,Bright Light,Giclée,Interior Designers
Vincent,Seascape,Impressionism,Watercolor,"20""x30""",No,Calgary,854,10,Free Shipping,Warm Tones,Original,Real,Kid Room,Calming,Bright Light,Screen Print,Art Collectors
Olivia,Fantasy,Realism,Mixed Media,"18""x24""",No,Miami,508,4,Standard,Cool Tones,Original,Print,Bedroom,Calming,Natural Light,Lithograph,Art Collectors
Liam,Still Life,Impressionism,Watercolor,"30""x40""",No,Vancouver,943,3,Express,Oceanic Tones,Original,Print,Gallery,Reflective,Dim Light,Screen Print,Art Collectors
Jija,Wildlife,Cubism,Watercolor,"24""x36""",No,Montreal,179,9,Free Shipping,Warm Tones,Copy,Print,Kid Room,Relaxing,Bright Light,Lithograph,Families
Claude,Fantasy,Realism,Acrylic,"24""x36""",No,New York,794,7,Express,Earthy Tones,Original,Print,Gallery,Joyful,Dim Light,N/A,Art Collectors
Ava,Abstract,Abstract Expressionism,Mixed Media,"24""x36""",Yes,New York,290,4,Free Shipping,Warm Tones,Original,Print,Office,Joyful,Natural Light,N/A,Art Collectors
Vincent,Seascape,Abstract Expressionism,Acrylic,"16""x20""",No,Los Angeles,956,8,Standard,Cool Tones,Original,Real,Living Room,Relaxing,Dim Light,Giclée,Young Professionals
Ava,Still Life,Realism,Watercolor,"30""x40""",No,Vancouver,854,6,Free Shipping,Neutral Tones,Copy,Print,Kid Room,Calming,Natural Light,Lithograph,Art Collectors
Emma,Seascape,Cubism,Mixed Media,"24""x36""",No,Toronto,308,3,Express,Neutral Tones,Original,Real,Bedroom,Relaxing,Dim Light,Lithograph,Young Professionals
Pablo,Portrait,Modern,Watercolor,"20""x30""",No,Vancouver,515,6,Standard,Cool Tones,Copy,Print,Office,Energetic,Bright Light,Giclée,Interior Designers
Pablo,Still Life,Modern,Charcoal,"30""x40""",Yes,Vancouver,868,8,Standard,Oceanic Tones,Copy,Print,Gallery,Calming,Bright Light,Lithograph,Art Collectors
Noah,Seascape,Cubism,Acrylic,"24""x36""",No,Montreal,663,6,Standard,Cool Tones,Copy,Real,Gallery,Relaxing,Bright Light,Lithograph,Art Collectors
Claude,Fantasy,Cubism,Oil,"16""x20""",Yes,Toronto,794,6,Free Shipping,Earthy Tones,Original,Print,Office,Reflective,Dim Light,N/A,Interior Designers
Liam,Landscape,Abstract Expressionism,Charcoal,"20""x30""",No,New York,539,8,Free Shipping,Oceanic Tones,Original,Print,Living Room,Joyful,Bright Light,Lithograph,Corporate Clients
Jija,Seascape,Cubism,Watercolor,"20""x30""",No,Montreal,879,8,Express,Neutral Tones,Original,Real,Kid Room,Relaxing,Dim Light,Lithograph,Interior Designers
Noah,Still Life,Realism,Watercolor,"24""x36""",Yes,Toronto,505,7,Standard,Cool Tones,Copy,Real,Gallery,Reflective,Dim Light,N/A,Interior Designers
Emma,Seascape,Cubism,Acrylic,"24""x36""",Yes,Calgary,924,7,Standard,Earthy Tones,Original,Real,Office,Reflective,Bright Light,N/A,Art Collectors
Emma,Abstract,Realism,Watercolor,"18""x24""",Yes,New York,657,3,Free Shipping,Warm Tones,Copy,Real,Gallery,Relaxing,Bright Light,Lithograph,Interior Designers
Emma,Fantasy,Impressionism,Acrylic,"20""x30""",Yes,Miami,505,4,Express,Cool Tones,Copy,Real,Bedroom,Energetic,Bright Light,N/A,Corporate Clients
Frida,Still Life,Surrealism,Charcoal,"20""x30""",Yes,Calgary,130,3,Free Shipping,Oceanic Tones,Copy,Real,Kid Room,Joyful,Bright Light,Fine Art Print,Art Collectors
Claude,Portrait,Modern,Acrylic,"16""x20""",Yes,Los Angeles,197,8,Standard,Earthy Tones,Copy,Real,Kid Room,Energetic,Dim Light,Lithograph,Corporate Clients
Pablo,Portrait,Impressionism,Oil,"30""x40""",Yes,Vancouver,384,7,Free Shipping,Cool Tones,Copy,Print,Kid Room,Calming,Bright Light,Lithograph,Young Professionals
Frida,Landscape,Cubism,Oil,"18""x24""",Yes,New York,975,9,Standard,Neutral Tones,Copy,Real,Gallery,Calming,Dim Light,Giclée,Interior Designers
Jija,Fantasy,Surrealism,Watercolor,"16""x20""",Yes,Montreal,699,7,Express,Neutral Tones,Copy,Real,Office,Relaxing,Bright Light,Screen Print,Art Collectors
Noah,Abstract,Modern,Watercolor,"18""x24""",Yes,New York,657,10,Standard,Earthy Tones,Copy,Real,Office,Relaxing,Natural Light,N/A,Art Collectors
Frida,Landscape,Realism,Acrylic,"30""x40""",No,Calgary,965,10,Free Shipping,Neutral Tones,Copy,Real,Bedroom,Calming,Dim Light,N/A,Art Collectors
Noah,Seascape,Impressionism,Charcoal,"24""x36""",Yes,Calgary,205,9,Free Shipping,Oceanic Tones,Copy,Print,Living Room,Energetic,Bright Light,N/A,Young Professionals
Olivia,Still Life,Cubism,Acrylic,"20""x30""",Yes,Montreal,854,6,Standard,Warm Tones,Original,Print,Bedroom,Energetic,Natural Light,Lithograph,Families
Leonardo,Portrait,Realism,Acrylic,"16""x20""",Yes,Montreal,265,4,Free Shipping,Earthy Tones,Original,Real,Living Room,Relaxing,Dim Light,N/A,Art Collectors
Pablo,Abstract,Cubism,Charcoal,"16""x20""",Yes,Chicago,840,7,Standard,Warm Tones,Original,Print,Gallery,Energetic,Bright Light,Giclée,Young Professionals
Noah,Fantasy,Abstract Expressionism,Acrylic,"30""x40""",No,Montreal,816,8,Express,Warm Tones,Copy,Real,Living Room,Relaxing,Bright Light,Giclée,Families
Frida,Abstract,Abstract Expressionism,Oil,"18""x24""",No,Montreal,308,5,Express,Cool Tones,Original,Print,Living Room,Calming,Bright Light,Lithograph,Art Collectors
Jija,Portrait,Impressionism,Watercolor,"24""x36""",No,Montreal,127,7,Express,Earthy Tones,Copy,Print,Living Room,Calming,Dim Light,Giclée,Families
Frida,Still Life,Modern,Acrylic,"16""x20""",Yes,Chicago,774,4,Express,Warm Tones,Original,Real,Office,Relaxing,Natural Light,Lithograph,Interior Designers
Liam,Landscape,Surrealism,Mixed Media,"30""x40""",Yes,Miami,890,3,Standard,Neutral Tones,Original,Print,Office,Calming,Dim Light,Screen Print,Art Collectors
Noah,Still Life,Realism,Acrylic,"18""x24""",No,Los Angeles,879,6,Standard,Cool Tones,Copy,Print,Living Room,Joyful,Natural Light,N/A,Families
Vincent,Fantasy,Cubism,Charcoal,"24""x36""",No,Montreal,339,6,Express,Warm Tones,Original,Real,Kid Room,Calming,Dim Light,N/A,Young Professionals
Ava,Still Life,Modern,Watercolor,"30""x40""",No,Calgary,299,5,Free Shipping,Oceanic Tones,Copy,Real,Gallery,Relaxing,Bright Light,Screen Print,Families
Olivia,Seascape,Cubism,Charcoal,"16""x20""",Yes,Toronto,938,7,Standard,Earthy Tones,Original,Print,Bedroom,Relaxing,Bright Light,Giclée,Art Collectors
Noah,Seascape,Impressionism,Mixed Media,"24""x36""",No,Miami,515,5,Express,Neutral Tones,Copy,Real,Kid Room,Energetic,Dim Light,Fine Art Print,Interior Designers
Pablo,Seascape,Surrealism,Watercolor,"30""x40""",Yes,New York,348,4,Express,Earthy Tones,Original,Real,Gallery,Joyful,Bright Light,Lithograph,Art Collectors
Noah,Abstract,Modern,Mixed Media,"16""x20""",No,Montreal,413,4,Express,Neutral Tones,Original,Print,Kid Room,Energetic,Natural Light,N/A,Interior Designers
Liam,Abstract,Surrealism,Watercolor,"16""x20""",Yes,Calgary,715,7,Express,Cool Tones,Original,Real,Living Room,Joyful,Natural Light,Lithograph,Young Professionals
Leonardo,Fantasy,Realism,Oil,"20""x30""",No,New York,913,9,Express,Neutral Tones,Original,Real,Office,Relaxing,Natural Light,Screen Print,Young Professionals
Claude,Wildlife,Modern,Acrylic,"24""x36""",Yes,New York,731,9,Free Shipping,Warm Tones,Original,Real,Living Room,Reflective,Bright Light,Giclée,Corporate Clients
Leonardo,Wildlife,Impressionism,Acrylic,"18""x24""",No,Montreal,413,7,Free Shipping,Neutral Tones,Original,Print,Office,Calming,Dim Light,N/A,Young Professionals
Ava,Portrait,Impressionism,Acrylic,"20""x30""",Yes,Miami,794,8,Free Shipping,Cool Tones,Copy,Print,Living Room,Calming,Dim Light,N/A,Young Professionals
Claude,Landscape,Abstract Expressionism,Acrylic,"20""x30""",Yes,Los Angeles,774,9,Free Shipping,Neutral Tones,Original,Real,Office,Reflective,Bright Light,N/A,Art Collectors
Jija,Still Life,Surrealism,Watercolor,"16""x20""",No,Montreal,508,10,Express,Oceanic Tones,Original,Real,Office,Joyful,Dim Light,N/A,Young Professionals
Vincent,Fantasy,Cubism,Acrylic,"20""x30""",Yes,Chicago,157,7,Standard,Oceanic Tones,Original,Real,Office,Reflective,Dim Light,Screen Print,Interior Designers
Pablo,Wildlife,Impressionism,Mixed Media,"24""x36""",No,Calgary,853,10,Free Shipping,Oceanic Tones,Original,Real,Gallery,Calming,Bright Light,Lithograph,Interior Designers
Olivia,Seascape,Impressionism,Acrylic,"30""x40""",No,Vancouver,771,10,Free Shipping,Oceanic Tones,Copy,Print,Office,Reflective,Bright Light,Giclée,Art Collectors
Pablo,Still Life,Modern,Acrylic,"18""x24""",No,Los Angeles,344,6,Standard,Oceanic Tones,Copy,Print,Bedroom,Calming,Natural Light,Lithograph,Interior Designers
Jija,Landscape,Abstract Expressionism,Watercolor,"20""x30""",No,Montreal,477,3,Express,Oceanic Tones,Copy,Print,Living Room,Joyful,Dim Light,Lithograph,Interior Designers
Noah,Portrait,Realism,Acrylic,"16""x20""",No,Miami,704,7,Express,Cool Tones,Original,Real,Gallery,Energetic,Dim Light,N/A,Interior Designers
Vincent,Landscape,Abstract Expressionism,Watercolor,"20""x30""",No,Vancouver,413,3,Free Shipping,Warm Tones,Original,Print,Bedroom,Calming,Bright Light,Lithograph,Art Collectors
Leonardo,Fantasy,Abstract Expressionism,Oil,"20""x30""",Yes,Vancouver,469,7,Express,Warm Tones,Copy,Real,Bedroom,Reflective,Dim Light,N/A,Interior Designers
Pablo,Portrait,Surrealism,Watercolor,"30""x40""",Yes,Calgary,205,6,Free Shipping,Oceanic Tones,Original,Print,Kid Room,Joyful,Dim Light,N/A,Young Professionals
Olivia,Wildlife,Modern,Acrylic,"16""x20""",Yes,Chicago,413,10,Express,Cool Tones,Copy,Print,Bedroom,Calming,Bright Light,Screen Print,Interior Designers
Vincent,Seascape,Realism,Acrylic,"18""x24""",No,Chicago,857,5,Free Shipping,Oceanic Tones,Copy,Real,Kid Room,Energetic,Dim Light,N/A,Young Professionals
Claude,Wildlife,Realism,Oil,"18""x24""",No,Toronto,368,9,Free Shipping,Oceanic Tones,Original,Real,Office,Joyful,Bright Light,Giclée,Families
Leonardo,Seascape,Surrealism,Charcoal,"16""x20""",No,New York,234,9,Standard,Warm Tones,Copy,Print,Living Room,Reflective,Natural Light,Giclée,Art Collectors
Emma,Abstract,Realism,Oil,"30""x40""",Yes,New York,938,4,Free Shipping,Oceanic Tones,Original,Real,Living Room,Calming,Bright Light,Lithograph,Families
Frida,Seascape,Realism,Acrylic,"20""x30""",No,Miami,774,5,Standard,Oceanic Tones,Copy,Real,Office,Joyful,Natural Light,Screen Print,Young Professionals
Liam,Abstract,Cubism,Charcoal,"20""x30""",No,Montreal,731,3,Free Shipping,Neutral Tones,Original,Print,Gallery,Energetic,Bright Light,Giclée,Art Collectors
Frida,Fantasy,Surrealism,Oil,"20""x30""",No,Los Angeles,384,5,Free Shipping,Neutral Tones,Copy,Print,Gallery,Reflective,Natural Light,Giclée,Corporate Clients
Claude,Portrait,Modern,Charcoal,"18""x24""",Yes,Chicago,477,4,Free Shipping,Warm Tones,Copy,Print,Office,Reflective,Dim Light,Lithograph,Corporate Clients
Jija,Wildlife,Modern,Watercolor,"24""x36""",Yes,Montreal,344,9,Free Shipping,Oceanic Tones,Original,Real,Office,Relaxing,Dim Light,Screen Print,Art Collectors
Frida,Portrait,Realism,Mixed Media,"30""x40""",No,Miami,528,7,Express,Warm Tones,Copy,Real,Kid Room,Joyful,Dim Light,N/A,Families
Noah,Wildlife,Abstract Expressionism,Acrylic,"20""x30""",Yes,Montreal,450,6,Express,Cool Tones,Original,Real,Kid Room,Relaxing,Bright Light,N/A,Interior Designers
Pablo,Fantasy,Surrealism,Charcoal,"16""x20""",No,Calgary,956,10,Standard,Cool Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Fine Art Print,Art Collectors
Frida,Seascape,Modern,Acrylic,"30""x40""",Yes,Chicago,528,9,Standard,Earthy Tones,Copy,Print,Gallery,Joyful,Natural Light,N/A,Young Professionals
Jija,Landscape,Surrealism,Watercolor,"16""x20""",No,Montreal,539,9,Express,Oceanic Tones,Copy,Real,Living Room,Relaxing,Natural Light,Lithograph,Interior Designers
Emma,Seascape,Realism,Watercolor,"18""x24""",Yes,Toronto,913,9,Standard,Earthy Tones,Copy,Print,Gallery,Calming,Natural Light,Screen Print,Corporate Clients
Vincent,Landscape,Impressionism,Watercolor,"30""x40""",No,Miami,909,10,Express,Oceanic Tones,Copy,Real,Office,Joyful,Dim Light,Screen Print,Families
Vincent,Landscape,Abstract Expressionism,Oil,"18""x24""",Yes,Miami,221,4,Express,Neutral Tones,Copy,Real,Office,Calming,Natural Light,Lithograph,Corporate Clients
Emma,Landscape,Cubism,Oil,"18""x24""",No,Chicago,477,7,Free Shipping,Oceanic Tones,Copy,Real,Living Room,Reflective,Natural Light,N/A,Families
Vincent,Fantasy,Cubism,Charcoal,"20""x30""",Yes,Calgary,875,6,Standard,Neutral Tones,Original,Real,Kid Room,Energetic,Natural Light,Screen Print,Interior Designers
Olivia,Landscape,Modern,Charcoal,"16""x20""",Yes,Miami,334,3,Free Shipping,Neutral Tones,Copy,Print,Office,Energetic,Bright Light,Screen Print,Art Collectors
Liam,Still Life,Cubism,Mixed Media,"24""x36""",Yes,Miami,663,8,Free Shipping,Earthy Tones,Copy,Print,Office,Calming,Bright Light,Screen Print,Corporate Clients
Jija,Portrait,Abstract Expressionism,Watercolor,"30""x40""",No,Montreal,649,4,Standard,Cool Tones,Copy,Real,Office,Relaxing,Bright Light,Lithograph,Families
Vincent,Still Life,Abstract Expressionism,Watercolor,"24""x36""",Yes,Calgary,334,4,Free Shipping,Cool Tones,Copy,Print,Kid Room,Relaxing,Natural Light,N/A,Art Collectors
Pablo,Abstract,Surrealism,Mixed Media,"30""x40""",Yes,Calgary,339,4,Standard,Earthy Tones,Original,Print,Kid Room,Calming,Bright Light,Lithograph,Families
Pablo,Landscape,Abstract Expressionism,Watercolor,"24""x36""",Yes,Calgary,245,5,Express,Neutral Tones,Copy,Real,Gallery,Reflective,Bright Light,Giclée,Corporate Clients
Vincent,Landscape,Modern,Acrylic,"18""x24""",Yes,Chicago,245,10,Free Shipping,Warm Tones,Copy,Print,Bedroom,Energetic,Dim Light,Screen Print,Interior Designers
Frida,Fantasy,Modern,Charcoal,"16""x20""",No,Montreal,938,4,Express,Warm Tones,Original,Real,Bedroom,Energetic,Dim Light,Screen Print,Interior Designers
Olivia,Wildlife,Surrealism,Charcoal,"20""x30""",Yes,Calgary,149,10,Standard,Warm Tones,Original,Print,Bedroom,Energetic,Dim Light,N/A,Corporate Clients
Claude,Fantasy,Realism,Oil,"18""x24""",No,Vancouver,205,5,Free Shipping,Cool Tones,Copy,Real,Living Room,Reflective,Dim Light,Giclée,Families
Liam,Seascape,Abstract Expressionism,Charcoal,"24""x36""",Yes,Miami,499,7,Standard,Earthy Tones,Original,Real,Office,Calming,Dim Light,Giclée,Young Professionals
Leonardo,Still Life,Abstract Expressionism,Charcoal,"16""x20""",No,Calgary,813,4,Standard,Neutral Tones,Copy,Real,Gallery,Relaxing,Dim Light,Screen Print,Art Collectors
Jija,Landscape,Abstract Expressionism,Watercolor,"16""x20""",Yes,Montreal,515,6,Free Shipping,Earthy Tones,Original,Print,Office,Joyful,Dim Light,Lithograph,Families
Liam,Wildlife,Cubism,Charcoal,"24""x36""",No,Vancouver,657,10,Express,Earthy Tones,Copy,Real,Gallery,Relaxing,Dim Light,N/A,Young Professionals
Leonardo,Wildlife,Surrealism,Mixed Media,"24""x36""",No,New York,456,6,Standard,Cool Tones,Original,Print,Bedroom,Energetic,Dim Light,Lithograph,Corporate Clients
Pablo,Wildlife,Surrealism,Charcoal,"20""x30""",Yes,Vancouver,657,10,Free Shipping,Earthy Tones,Original,Real,Gallery,Energetic,Bright Light,Lithograph,Young Professionals
Claude,Fantasy,Cubism,Watercolor,"20""x30""",No,Chicago,956,7,Express,Cool Tones,Copy,Real,Bedroom,Joyful,Bright Light,Screen Print,Art Collectors
Olivia,Seascape,Abstract Expressionism,Mixed Media,"30""x40""",No,Vancouver,907,8,Free Shipping,Neutral Tones,Copy,Real,Office,Reflective,Natural Light,Screen Print,Corporate Clients
Liam,Fantasy,Modern,Acrylic,"20""x30""",No,Chicago,212,6,Standard,Oceanic Tones,Copy,Real,Kid Room,Relaxing,Natural Light,Lithograph,Young Professionals
Claude,Abstract,Modern,Mixed Media,"20""x30""",Yes,Vancouver,576,7,Standard,Oceanic Tones,Original,Real,Gallery,Energetic,Natural Light,Giclée,Young Professionals
Leonardo,Portrait,Impressionism,Mixed Media,"16""x20""",No,Miami,222,9,Standard,Earthy Tones,Original,Print,Gallery,Joyful,Natural Light,Lithograph,Corporate Clients
Claude,Still Life,Realism,Acrylic,"30""x40""",Yes,Montreal,231,6,Express,Neutral Tones,Copy,Print,Bedroom,Energetic,Natural Light,Lithograph,Art Collectors
Noah,Landscape,Impressionism,Charcoal,"20""x30""",No,Los Angeles,221,10,Express,Neutral Tones,Original,Print,Living Room,Joyful,Bright Light,N/A,Young Professionals
Emma,Still Life,Impressionism,Oil,"30""x40""",No,Los Angeles,581,6,Free Shipping,Cool Tones,Copy,Real,Kid Room,Joyful,Dim Light,Lithograph,Families
Vincent,Portrait,Impressionism,Charcoal,"20""x30""",No,Chicago,469,3,Express,Warm Tones,Original,Print,Kid Room,Reflective,Natural Light,Screen Print,Corporate Clients
Noah,Portrait,Surrealism,Charcoal,"18""x24""",No,Chicago,205,8,Standard,Cool Tones,Original,Print,Bedroom,Reflective,Natural Light,N/A,Interior Designers
Vincent,Portrait,Cubism,Acrylic,"18""x24""",Yes,Toronto,334,7,Express,Earthy Tones,Original,Print,Kid Room,Reflective,Dim Light,Lithograph,Young Professionals
Olivia,Abstract,Abstract Expressionism,Oil,"18""x24""",Yes,Miami,734,5,Free Shipping,Cool Tones,Original,Print,Office,Joyful,Dim Light,N/A,Art Collectors
Claude,Wildlife,Cubism,Oil,"30""x40""",Yes,Chicago,581,3,Standard,Earthy Tones,Copy,Print,Office,Joyful,Natural Light,Lithograph,Young Professionals
Olivia,Fantasy,Abstract Expressionism,Oil,"16""x20""",Yes,Vancouver,404,4,Standard,Cool Tones,Original,Print,Gallery,Reflective,Dim Light,N/A,Art Collectors
Emma,Still Life,Impressionism,Mixed Media,"30""x40""",Yes,Los Angeles,943,7,Standard,Neutral Tones,Original,Real,Office,Relaxing,Bright Light,Giclée,Interior Designers
Noah,Seascape,Cubism,Oil,"30""x40""",No,New York,696,4,Standard,Earthy Tones,Copy,Print,Kid Room,Energetic,Dim Light,Screen Print,Corporate Clients
Ava,Seascape,Cubism,Mixed Media,"24""x36""",Yes,Los Angeles,149,7,Express,Warm Tones,Original,Real,Bedroom,Reflective,Natural Light,Lithograph,Families
Jija,Landscape,Impressionism,Watercolor,"24""x36""",Yes,Montreal,576,7,Free Shipping,Warm Tones,Copy,Real,Gallery,Energetic,Natural Light,Screen Print,Corporate Clients
Frida,Seascape,Cubism,Mixed Media,"30""x40""",Yes,Miami,704,9,Standard,Oceanic Tones,Original,Real,Gallery,Reflective,Dim Light,Lithograph,Corporate Clients
Leonardo,Still Life,Cubism,Oil,"16""x20""",No,Chicago,918,4,Standard,Neutral Tones,Original,Print,Gallery,Energetic,Natural Light,Giclée,Young Professionals
Leonardo,Still Life,Modern,Watercolor,"20""x30""",No,Miami,719,3,Free Shipping,Warm Tones,Original,Print,Office,Calming,Natural Light,Screen Print,Art Collectors
Pablo,Portrait,Modern,Charcoal,"24""x36""",No,Vancouver,715,3,Free Shipping,Earthy Tones,Original,Print,Office,Reflective,Natural Light,N/A,Corporate Clients
Vincent,Landscape,Surrealism,Watercolor,"16""x20""",Yes,Calgary,848,10,Express,Cool Tones,Original,Print,Gallery,Calming,Natural Light,Lithograph,Young Professionals
Olivia,Fantasy,Realism,Oil,"18""x24""",Yes,Vancouver,879,4,Free Shipping,Warm Tones,Copy,Print,Living Room,Energetic,Natural Light,Lithograph,Art Collectors
Jija,Still Life,Impressionism,Watercolor,"20""x30""",Yes,Montreal,515,5,Free Shipping,Cool Tones,Original,Real,Bedroom,Joyful,Bright Light,Lithograph,Interior Designers
Vincent,Still Life,Modern,Acrylic,"16""x20""",No,Los Angeles,680,9,Standard,Warm Tones,Original,Real,Bedroom,Relaxing,Dim Light,Screen Print,Interior Designers
Vincent,Still Life,Surrealism,Mixed Media,"30""x40""",No,Toronto,938,10,Standard,Neutral Tones,Copy,Print,Kid Room,Relaxing,Natural Light,Fine Art Print,Young Professionals
Olivia,Abstract,Modern,Oil,"24""x36""",No,Calgary,505,3,Standard,Oceanic Tones,Copy,Print,Living Room,Relaxing,Dim Light,Giclée,Art Collectors
Noah,Portrait,Modern,Charcoal,"24""x36""",Yes,Vancouver,221,9,Standard,Warm Tones,Copy,Real,Office,Relaxing,Natural Light,Giclée,Families
Vincent,Landscape,Abstract Expressionism,Acrylic,"16""x20""",Yes,Montreal,605,9,Standard,Neutral Tones,Original,Real,Bedroom,Calming,Dim Light,N/A,Families
Noah,Seascape,Realism,Watercolor,"18""x24""",Yes,New York,715,5,Standard,Oceanic Tones,Copy,Print,Office,Reflective,Natural Light,Lithograph,Art Collectors
Ava,Still Life,Cubism,Oil,"24""x36""",Yes,Toronto,231,5,Free Shipping,Earthy Tones,Original,Real,Bedroom,Energetic,Dim Light,Giclée,Interior Designers
Noah,Landscape,Surrealism,Acrylic,"20""x30""",No,Toronto,868,4,Free Shipping,Neutral Tones,Copy,Print,Bedroom,Calming,Dim Light,Giclée,Corporate Clients
Jija,Still Life,Surrealism,Watercolor,"24""x36""",No,Montreal,450,4,Standard,Earthy Tones,Copy,Print,Kid Room,Reflective,Dim Light,N/A,Families
Ava,Seascape,Realism,Acrylic,"16""x20""",Yes,Vancouver,299,6,Standard,Neutral Tones,Original,Print,Bedroom,Joyful,Natural Light,Screen Print,Art Collectors
